cnt = 0
, clk = 1
, cur_pc_id = 0
, instruction = 0
, ra = 0
, t0 = 0
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 1
, clk = 0
, cur_pc_id = 0
, instruction = 0
, ra = 0
, t0 = 0
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 2
, clk = 1
, cur_pc_id = 0
, instruction = 11001001100000000001010010011
, ra = 0
, t0 = 0
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 3
, clk = 0
, cur_pc_id = 0
, instruction = 11001001100000000001010010011
, ra = 0
, t0 = 0
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 4
, clk = 1
, cur_pc_id = 0
, instruction = 11001001100000000001010010011
, ra = 0
, t0 = 0
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 5
, clk = 0
, cur_pc_id = 0
, instruction = 11001001100000000001010010011
, ra = 0
, t0 = 0
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 6
, clk = 1
, cur_pc_id = 0
, instruction = 11001001100000000001010010011
, ra = 0
, t0 = 0
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 7
, clk = 0
, cur_pc_id = 0
, instruction = 11001001100000000001010010011
, ra = 0
, t0 = 0
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 8
, clk = 1
, cur_pc_id = 4
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 9
, clk = 0
, cur_pc_id = 4
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 10
, clk = 1
, cur_pc_id = 4
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 11
, clk = 0
, cur_pc_id = 4
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 12
, clk = 1
, cur_pc_id = 4
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 13
, clk = 0
, cur_pc_id = 4
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 14
, clk = 1
, cur_pc_id = 8
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 15
, clk = 0
, cur_pc_id = 8
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 16
, clk = 1
, cur_pc_id = 8
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 17
, clk = 0
, cur_pc_id = 8
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 18
, clk = 1
, cur_pc_id = 8
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 19
, clk = 0
, cur_pc_id = 8
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 20
, clk = 1
, cur_pc_id = 12
, instruction = 10100101000001100110011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 21
, clk = 0
, cur_pc_id = 12
, instruction = 10100101000001100110011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 22
, clk = 1
, cur_pc_id = 12
, instruction = 10100101000001100110011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 23
, clk = 0
, cur_pc_id = 12
, instruction = 10100101000001100110011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 24
, clk = 1
, cur_pc_id = 12
, instruction = 10100101000001100110011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 25
, clk = 0
, cur_pc_id = 12
, instruction = 10100101000001100110011
, ra = 0
, t0 = 193
, t1 = 0
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 26
, clk = 1
, cur_pc_id = 16
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 27
, clk = 0
, cur_pc_id = 16
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 28
, clk = 1
, cur_pc_id = 16
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 29
, clk = 0
, cur_pc_id = 16
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 30
, clk = 1
, cur_pc_id = 16
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 31
, clk = 0
, cur_pc_id = 16
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 32
, clk = 1
, cur_pc_id = 20
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 33
, clk = 0
, cur_pc_id = 20
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 34
, clk = 1
, cur_pc_id = 20
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 35
, clk = 0
, cur_pc_id = 20
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 36
, clk = 1
, cur_pc_id = 20
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 37
, clk = 0
, cur_pc_id = 20
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 38
, clk = 1
, cur_pc_id = 24
, instruction = 1000000011000000000001110110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 39
, clk = 0
, cur_pc_id = 24
, instruction = 1000000011000000000001110110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 40
, clk = 1
, cur_pc_id = 24
, instruction = 1000000011000000000001110110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 41
, clk = 0
, cur_pc_id = 24
, instruction = 1000000011000000000001110110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 42
, clk = 1
, cur_pc_id = 24
, instruction = 1000000011000000000001110110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 43
, clk = 0
, cur_pc_id = 24
, instruction = 1000000011000000000001110110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = 0
, t3 = 0
, t4 = 0
, 
cnt = 44
, clk = 1
, cur_pc_id = 28
, instruction = 11000101111111000110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 0
, t4 = 0
, 
cnt = 45
, clk = 0
, cur_pc_id = 28
, instruction = 11000101111111000110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 0
, t4 = 0
, 
cnt = 46
, clk = 1
, cur_pc_id = 28
, instruction = 11000101111111000110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 0
, t4 = 0
, 
cnt = 47
, clk = 0
, cur_pc_id = 28
, instruction = 11000101111111000110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 0
, t4 = 0
, 
cnt = 48
, clk = 1
, cur_pc_id = 28
, instruction = 11000101111111000110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 0
, t4 = 0
, 
cnt = 49
, clk = 0
, cur_pc_id = 28
, instruction = 11000101111111000110011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 0
, t4 = 0
, 
cnt = 50
, clk = 1
, cur_pc_id = 32
, instruction = 1000000000111000010011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 102
, t4 = 0
, 
cnt = 51
, clk = 0
, cur_pc_id = 32
, instruction = 1000000000111000010011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 102
, t4 = 0
, 
cnt = 52
, clk = 1
, cur_pc_id = 32
, instruction = 1000000000111000010011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 102
, t4 = 0
, 
cnt = 53
, clk = 0
, cur_pc_id = 32
, instruction = 1000000000111000010011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 102
, t4 = 0
, 
cnt = 54
, clk = 1
, cur_pc_id = 32
, instruction = 1000000000111000010011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 102
, t4 = 0
, 
cnt = 55
, clk = 0
, cur_pc_id = 32
, instruction = 1000000000111000010011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 102
, t4 = 0
, 
cnt = 56
, clk = 1
, cur_pc_id = 36
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 2
, t4 = 0
, 
cnt = 57
, clk = 0
, cur_pc_id = 36
, instruction = 10011
, ra = 0
, t0 = 193
, t1 = 326
, t2 = fffffcda
, t3 = 2
, t4 = 0
, 
cnt = 58
, clk = 1
, cur_pc_id = 36
